object,metric,interleaved_effect,count_matched_effect,blocked_v1_effect,training_count_effect_al_minus_cm,adjacency_effect_cm_minus_blocked,total_attenuation_al_minus_blocked
bronze_cup,PSNR,1.1299762725830078,1.7228031158447266,-0.5676326751708984,-0.5928268432617188,2.290435791015625,1.6976089477539062
bronze_cup,SSIM,0.03129696846008301,0.03767528136571252,-0.02674543857574463,-0.006378312905629513,0.06442071994145715,0.05804240703582764
bronze_cup,LPIPS,-0.11173930764198303,-0.11463496585687002,-0.05553412437438965,0.0028956582148869925,-0.059100841482480376,-0.056205183267593384
bronze_statue,PSNR,1.6587352752685547,2.7369238535563163,-1.547800064086914,-1.0781885782877616,4.28472391764323,3.2065353393554688
bronze_statue,SSIM,0.05148559808731079,0.05605393648147583,0.0021442174911499023,-0.004568338394165039,0.05390971899032593,0.04934138059616089
bronze_statue,LPIPS,-0.08843173086643219,-0.08572754760583243,-0.03384065628051758,-0.002704183260599763,-0.05188689132531485,-0.05459107458591461
cloth_hat,PSNR,3.3549461364746094,3.2514514923095703,1.30340576171875,0.10349464416503906,1.9480457305908203,2.0515403747558594
cloth_hat,SSIM,0.022752344608306885,0.02683444817860925,-0.013125777244567871,-0.0040821035703023645,0.03996022542317712,0.035878121852874756
cloth_hat,LPIPS,-0.08947208523750305,-0.0939610153436661,-0.04657986760139465,0.004488930106163053,-0.04738114774227145,-0.0428922176361084
cloth_shoe,PSNR,2.9910335540771484,2.7253576914469413,3.752168655395508,0.26567586263020715,-1.0268109639485665,-0.7611351013183594
cloth_shoe,SSIM,0.023595988750457764,0.02541935443878174,0.04038679599761963,-0.0018233656883239746,-0.01496744155883789,-0.016790807247161865
cloth_shoe,LPIPS,-0.09543587267398834,-0.09464977184931436,-0.0646291971206665,-0.0007861008246739798,-0.03002057472864786,-0.03080667555332184
porcelain_plate,PSNR,3.1741809844970703,2.8479385375976562,0.43017578125,0.32624244689941406,2.4177627563476562,2.7440052032470703
porcelain_plate,SSIM,0.05835831165313721,0.05979432662328088,0.005929827690124512,-0.001436014970143673,0.05386449893315637,0.052428483963012695
porcelain_plate,LPIPS,-0.1305903196334839,-0.126641313234965,-0.06308570504188538,-0.0039490063985188895,-0.06355560819307962,-0.06750461459159851
silver_comb,PSNR,5.588445663452148,5.290310541788735,4.839315414428711,0.2981351216634138,0.4509951273600237,0.7491302490234375
silver_comb,SSIM,0.06486880779266357,0.06492223342259718,0.10764825344085693,-5.3425629933601115e-05,-0.04272602001825976,-0.04277944564819336
silver_comb,LPIPS,-0.11128909885883331,-0.10941652456919351,-0.1661866307258606,-0.0018725742896398,0.05677010615666708,0.05489753186702728
stone_horse,PSNR,2.8046188354492188,2.323183059692383,-4.715557098388672,0.48143577575683594,7.038740158081055,7.520175933837891
stone_horse,SSIM,0.06639045476913452,0.06563973426818848,-0.052870213985443115,0.0007507205009460449,0.11850994825363159,0.11926066875457764
stone_horse,LPIPS,-0.1260615438222885,-0.12487176557381949,-0.009166896343231201,-0.0011897782484690256,-0.11570486923058829,-0.11689464747905731
