object,protocol,protocol_label,n_test_views,median_temporal_gap_frames,median_temporal_neighbor_center_distance_norm,median_temporal_neighbor_angle_deg,median_max_train_ssim
bronze_cup,al,Interleaved,18,1.0,0.0240816294924302,3.895439487556798,0.5314244170792368
bronze_cup,interleaved_cm,Interleaved-CM,18,1.0,0.0240816294924302,3.895439487556798,0.5314244170792368
bronze_cup,blocked_v1,Blocked-v1,20,4.0,0.0989782500519367,16.32144670709373,0.44170704643672687
bronze_cup,blocked_v2,Blocked-v2,20,4.0,0.10035629564058052,15.903821501181222,0.4659547773031388
bronze_cup,blocked_v3,Blocked-v3,20,4.0,0.10140686051592748,16.034119234260938,0.46152149266457754
bronze_statue,al,Interleaved,22,1.0,0.027020854118138857,3.8708482973188096,0.5708041682603673
bronze_statue,interleaved_cm,Interleaved-CM,22,1.0,0.027020854118138857,3.8708482973188096,0.5708041682603673
bronze_statue,blocked_v1,Blocked-v1,20,4.0,0.11567884884139089,17.717309663215218,0.4872242989373682
bronze_statue,blocked_v2,Blocked-v2,20,4.0,0.10754431408722898,14.778740196970904,0.5008942108373788
bronze_statue,blocked_v3,Blocked-v3,20,4.0,0.10418343277718567,16.086002816973682,0.4898387245425442
cloth_hat,al,Interleaved,24,1.0,0.0278645377835502,4.711928692028641,0.5591213417529475
cloth_hat,interleaved_cm,Interleaved-CM,24,1.0,0.0278645377835502,4.711928692028641,0.5591213417529475
cloth_hat,blocked_v1,Blocked-v1,20,3.0,0.10097303160652324,16.486750264090926,0.4754657936435986
cloth_hat,blocked_v2,Blocked-v2,20,3.0,0.09069872834808845,14.214288402123817,0.4733781368951173
cloth_hat,blocked_v3,Blocked-v3,20,3.0,0.0896300044458649,14.235070381686747,0.4602999607656407
cloth_shoe,al,Interleaved,24,1.0,0.02797053573780192,4.107061618879095,0.5552309239723492
cloth_shoe,interleaved_cm,Interleaved-CM,24,1.0,0.02797053573780192,4.107061618879095,0.5552309239723492
cloth_shoe,blocked_v1,Blocked-v1,20,3.0,0.09816425235386268,14.321924629558726,0.4905827202205102
cloth_shoe,blocked_v2,Blocked-v2,20,3.0,0.09310495379455877,14.852553462849055,0.4868139987722331
cloth_shoe,blocked_v3,Blocked-v3,20,3.5,0.09334131812080611,14.85052362447152,0.5269233588144362
porcelain_plate,al,Interleaved,24,1.0,0.029248991576620822,4.370910963982498,0.5636332941928974
porcelain_plate,interleaved_cm,Interleaved-CM,24,1.0,0.029248991576620822,4.370910963982498,0.5636332941928974
porcelain_plate,blocked_v1,Blocked-v1,20,3.0,0.10682269578038303,15.47520478326059,0.4915725810633672
porcelain_plate,blocked_v2,Blocked-v2,20,3.5,0.10199578763910751,14.900750730158181,0.5188520415770873
porcelain_plate,blocked_v3,Blocked-v3,20,3.0,0.09658155583260651,14.515731656218087,0.4993580416496971
silver_comb,al,Interleaved,20,1.0,0.02887363345792564,3.9359970114399236,0.6636474333280364
silver_comb,interleaved_cm,Interleaved-CM,20,1.0,0.02887363345792564,3.9359970114399236,0.6636474333280364
silver_comb,blocked_v1,Blocked-v1,20,3.5,0.09802041316236199,13.61120771200251,0.5732816337105435
silver_comb,blocked_v2,Blocked-v2,20,3.0,0.09596450979125577,13.920630037349369,0.5808661668111916
silver_comb,blocked_v3,Blocked-v3,20,3.5,0.09166725825251316,12.84593601129533,0.5951778786542591
stone_horse,al,Interleaved,14,1.0,0.03148787337760256,4.261565880591789,0.5300831326421704
stone_horse,interleaved_cm,Interleaved-CM,14,1.0,0.03148787337760256,4.261565880591789,0.5300831326421704
stone_horse,blocked_v1,Blocked-v1,20,4.5,0.13121751695412043,18.68075140142748,0.46200296712471534
stone_horse,blocked_v2,Blocked-v2,20,5.0,0.14357838749517593,19.15905477090196,0.4442596434374797
stone_horse,blocked_v3,Blocked-v3,20,5.0,0.14264634413857938,20.07620066136655,0.47606915637261216
