method,metric,n_objects,mean_attenuation,ci95_low,ci95_high,extreme_assignments,total_assignments,two_sided_p
3DGS,PSNR,7,2.458265849522182,0.8547423226492745,4.4070298331124445,6,128,0.046875
3DGS,SSIM,7,0.036482972758156915,0.00017426695142473494,0.07154335294451032,18,128,0.140625
3DGS,LPIPS,7,-0.04485669732093811,-0.07806836068630219,-0.006457294736589704,10,128,0.078125
Nerfacto,PSNR,7,0.5794830322265625,-0.11224065508161273,1.1837727682931083,20,128,0.15625
Nerfacto,SSIM,7,0.03409723724637713,0.008424540928431926,0.061209183292729424,10,128,0.078125
Nerfacto,LPIPS,7,-0.067245928304536,-0.11070603132247925,-0.024517223238945007,6,128,0.046875
