protocol,n_test_rows,nearest_center_distance_norm_mean,nearest_center_distance_norm_median,nearest_center_angle_deg_mean,nearest_center_angle_deg_median,nearest_orientation_angle_deg_mean,nearest_orientation_angle_deg_median
al,146,0.024414813518574795,0.02562919518406515,3.926202849216078,3.97451265316848,3.5835521152440686,3.7517105645656263
blocked_v1,140,0.10670275547467037,0.10266979863189096,16.24293935408865,15.377855760871528,15.975907838133441,15.2611121329581
blocked_v2,140,0.1008530101394834,0.09999503879637922,15.62193534772256,14.847380040766405,14.76848364411346,14.600017198295077
blocked_v3,140,0.10191587303142972,0.09915228486656241,16.034519476786347,15.083898479470019,15.239708960872278,14.954183689079052
interleaved_count_matched_seed2024,146,0.024500690060257267,0.02562919518406515,3.8813240005876897,3.9576855344689,3.5835521152440686,3.7517105645656263
interleaved_count_matched_seed2025,146,0.024414813518574795,0.02562919518406515,3.926202849216078,3.97451265316848,3.5835521152440686,3.7517105645656263
interleaved_count_matched_seed2026,146,0.024500690060257267,0.02562919518406515,3.8813240005876897,3.9576855344689,3.5839196390335775,3.7517105645656263
