protocol,protocol_key,n_objects,temporal_gap_frames,center_distance_norm,forward_angle_deg,max_train_ssim,psnr_delta,psnr_ci_low,psnr_ci_high,psnr_out_better,ssim_delta,ssim_ci_low,ssim_ci_high,ssim_out_better,lpips_delta,lpips_ci_low,lpips_ci_high,lpips_out_better
Interleaved,al,7,1.0342465753424657,0.026865390641768485,4.023920539592107,0.5725252546155156,2.9574195316859653,2.028806413922991,3.96620968409947,7,0.045535496303013394,0.03218470300946917,0.058254820959908624,7,-0.10757427981921605,-0.11926596718175071,-0.09611162117549352,7
Blocked v1,blocked_v1,7,3.835714285714286,0.10963660652232218,16.21983763761885,0.4938134822835248,0.4991536821637835,-1.7409567151750838,2.658590316772461,4,0.009052523544856481,-0.023683556488582065,0.046713829040527344,4,-0.06271758249827794,-0.10093635746410914,-0.03418289337839399,7
Blocked v2,blocked_v2,7,3.8714285714285714,0.10440955262778938,15.589387305901173,0.49637419468738714,-0.24772889273507254,-2.022142137799944,1.7191911424909319,3,0.019420632294246128,-0.0027724887643541577,0.04203079427991595,5,-0.07895450506891523,-0.09169980244977134,-0.0669165530375072,7
Blocked v3,blocked_v3,7,3.8857142857142857,0.10403041611853764,15.86881652305299,0.5061982484463554,1.631453377859933,-0.07944079807826451,3.3231819697788785,6,0.021600425243377686,-0.007641536848885673,0.05113558258329119,5,-0.05978061045919146,-0.09099038711615971,-0.02669112171445574,6
